GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
xyz-telecom-api,org.behrang.telecom.response,ErrorResponse,9,0,0,0,4,0,2,0,2,0
xyz-telecom-api,org.behrang.telecom.response,PhoneNumberResponse,9,0,0,0,4,0,2,0,2,0
xyz-telecom-api,org.behrang.telecom.response,PhoneActivationResponse,9,0,0,0,4,0,2,0,2,0
xyz-telecom-api,org.behrang.telecom.response,PhoneNumbersResponse,15,0,2,0,4,0,3,0,2,0
xyz-telecom-api,org.behrang.telecom.response,CustomerPhoneNumbersResponse,22,0,2,0,5,0,4,0,3,0
xyz-telecom-api,org.behrang.telecom.model,SinglePayload,9,0,0,0,1,0,2,0,2,0
xyz-telecom-api,org.behrang.telecom.model,CollectionPayload,21,0,0,0,1,0,4,0,4,0
xyz-telecom-api,org.behrang.telecom.repository,PhoneNumberRepository.PhoneNumberMapper,0,31,0,0,0,7,0,2,0,2
xyz-telecom-api,org.behrang.telecom.repository,CustomerRepository,31,0,0,0,5,0,2,0,2,0
xyz-telecom-api,org.behrang.telecom.repository,CustomerRepository.CustomerMapper,0,20,0,0,0,5,0,2,0,2
xyz-telecom-api,org.behrang.telecom.repository,PhoneNumberRepository,139,0,0,0,26,0,7,0,7,0
xyz-telecom-api,org.behrang.telecom.service,PhoneNumberService,144,0,10,0,29,0,10,0,5,0
xyz-telecom-api,org.behrang.telecom,Application,8,0,0,0,3,0,2,0,2,0
xyz-telecom-api,org.behrang.telecom.exception,PhoneNumberAlreadyActivatedException,4,0,0,0,2,0,1,0,1,0
xyz-telecom-api,org.behrang.telecom.exception,EntityNotFoundException,4,0,0,0,2,0,1,0,1,0
xyz-telecom-api,org.behrang.telecom.controller,PhoneNumberController,167,0,6,0,40,0,12,0,9,0
xyz-telecom-api,org.behrang.telecom.controller,CustomerController,30,0,0,0,5,0,3,0,3,0
xyz-telecom-api,org.behrang.telecom.advice,GlobalExceptionHandler,15,0,0,0,3,0,3,0,3,0
